Season,circuit_id,constructor_id,driver_id,Laps,Race time,Points,Rank
2010,hungaroring,mercedes,michael_schumacher,69.0,+1 lap,0.0,11
2010,hungaroring,toro_rosso,buemi,69.0,+1 lap,0.0,12
2010,hungaroring,force_india,liuzzi,69.0,+1 lap,0.0,13
2010,hungaroring,lotus_racing,kovalainen,67.0,+3 laps,0.0,14
2010,hungaroring,lotus_racing,trulli,67.0,+3 laps,0.0,15
2010,hungaroring,virgin,glock,67.0,+3 laps,0.0,16
2010,hungaroring,hrt,bruno_senna,67.0,+3 laps,0.0,17
2010,hungaroring,virgin,grassi,66.0,+4 laps,0.0,18
2010,hungaroring,hrt,yamamoto,66.0,+4 laps,0.0,19
2010,hungaroring,mclaren,hamilton,23.0,DNF,0.0,NC
2010,hungaroring,renault,kubica,23.0,DNF,0.0,NC
2010,hungaroring,mercedes,rosberg,15.0,DNF,0.0,NC
2010,hungaroring,force_india,sutil,15.0,DNF,0.0,NC
2010,hungaroring,toro_rosso,alguersuari,1.0,DNF,0.0,NC
2010,spa,mclaren,hamilton,44.0,1:29:04.268,25.0,1
2010,spa,renault,webber,44.0,+1.571s,18.0,2
2010,spa,renault,kubica,44.0,+3.493s,15.0,3
2010,spa,ferrari,massa,44.0,+8.264s,12.0,4
2010,spa,force_india,sutil,44.0,+9.094s,10.0,5
2010,spa,mercedes,rosberg,44.0,+12.359s,8.0,6
2010,spa,mercedes,michael_schumacher,44.0,+15.548s,6.0,7
2010,spa,sauber,kobayashi,44.0,+16.678s,4.0,8
2010,spa,renault,petrov,44.0,+23.851s,2.0,9
2010,spa,force_india,liuzzi,44.0,+34.831s,1.0,10
2010,spa,sauber,rosa,44.0,+36.019s,0.0,11
2010,spa,toro_rosso,buemi,44.0,+39.895s,0.0,12
2010,spa,toro_rosso,alguersuari,44.0,+49.457s,0.0,13
2010,spa,williams,hulkenberg,43.0,+1 lap,0.0,14
2010,spa,renault,vettel,43.0,+1 lap,0.0,15
2010,spa,lotus_racing,kovalainen,43.0,+1 lap,0.0,16
2010,spa,virgin,grassi,43.0,+1 lap,0.0,17
2010,spa,virgin,glock,43.0,+1 lap,0.0,18
2010,spa,lotus_racing,trulli,43.0,+1 lap,0.0,19
2010,spa,hrt,yamamoto,42.0,+2 laps,0.0,20
2010,spa,ferrari,alonso,37.0,DNF,0.0,NC
2010,spa,mclaren,button,15.0,DNF,0.0,NC
2010,spa,hrt,bruno_senna,5.0,DNF,0.0,NC
2010,spa,williams,barrichello,0.0,DNF,0.0,NC
2010,monza,ferrari,alonso,53.0,1:16:24.572,25.0,1
2010,monza,mclaren,button,53.0,+2.938s,18.0,2
2010,monza,ferrari,massa,53.0,+4.223s,15.0,3
2010,monza,renault,vettel,53.0,+28.196s,12.0,4
2010,monza,mercedes,rosberg,53.0,+29.942s,10.0,5
2010,monza,renault,webber,53.0,+31.276s,8.0,6
2010,monza,williams,hulkenberg,53.0,+32.812s,6.0,7
2010,monza,renault,kubica,53.0,+34.028s,4.0,8
2010,monza,mercedes,michael_schumacher,53.0,+44.948s,2.0,9
2010,monza,williams,barrichello,53.0,+64.213s,1.0,10
2010,monza,toro_rosso,buemi,53.0,+65.056s,0.0,11
2010,monza,force_india,liuzzi,53.0,+66.106s,0.0,12
2010,monza,renault,petrov,53.0,+78.919s,0.0,13
2010,monza,sauber,rosa,52.0,+1 lap,0.0,14
2010,monza,toro_rosso,alguersuari,52.0,+1 lap,0.0,15
2010,monza,force_india,sutil,52.0,+1 lap,0.0,16
2010,monza,virgin,glock,51.0,+2 laps,0.0,17
2010,monza,lotus_racing,kovalainen,51.0,+2 laps,0.0,18
2010,monza,hrt,yamamoto,51.0,+2 laps,0.0,19
2010,monza,virgin,grassi,50.0,+3 laps,0.0,20
2010,monza,lotus_racing,trulli,46.0,DNF,0.0,NC
2010,monza,hrt,bruno_senna,11.0,DNF,0.0,NC
2010,monza,mclaren,hamilton,0.0,DNF,0.0,NC
2010,monza,sauber,kobayashi,0.0,DNF,0.0,NC
2010,marina_bay,ferrari,alonso,61.0,1:57:53.579,25.0,1
2010,marina_bay,renault,vettel,61.0,+0.293s,18.0,2
2010,marina_bay,renault,webber,61.0,+29.141s,15.0,3
2010,marina_bay,mclaren,button,61.0,+30.384s,12.0,4
2010,marina_bay,mercedes,rosberg,61.0,+49.394s,10.0,5
2010,marina_bay,williams,barrichello,61.0,+56.101s,8.0,6
2010,marina_bay,renault,kubica,61.0,+86.559s,6.0,7
2010,marina_bay,ferrari,massa,61.0,+113.297s,4.0,8
2010,marina_bay,force_india,sutil,61.0,+132.416s,2.0,9
2010,marina_bay,williams,hulkenberg,61.0,+132.791s,1.0,10
2010,marina_bay,renault,petrov,60.0,+1 lap,0.0,11
2010,marina_bay,toro_rosso,alguersuari,60.0,+1 lap,0.0,12
2010,marina_bay,mercedes,michael_schumacher,60.0,+1 lap,0.0,13
2010,marina_bay,toro_rosso,buemi,60.0,+1 lap,0.0,14
2010,marina_bay,virgin,grassi,59.0,+2 laps,0.0,15
2010,marina_bay,lotus_racing,kovalainen,58.0,DNF,0.0,16
2010,marina_bay,virgin,glock,49.0,DNF,0.0,NC
2010,marina_bay,sauber,heidfeld,36.0,DNF,0.0,NC
