season,circuit_id,constructor_id,driver_id,Laps,Points,Rank,round,Points Before GP,Finished,grid,constructor_country_of_origin,updated_wins,updated_poles,year_of_birth,height (cm),weight (kg),driver_country_of_origin,updated_driver_wins,updated_driver_poles,Engine Manufacturer,Engine,Displacement,Cylinders,Valves,driver_age,circuit_country,configuration,length (km),number_of_corners,drs_zones,driver_home_race,constructor_home_race,weather_category_Clear,weather_category_Cloudy,weather_category_Rainy,weather_category_Warm,weather_category_Windy,salary
2010,catalunya,red_bull,vettel,66,15.0,3,5,45.0,1,2,Austria,8,10,1987,176,58,Germany,6,8,Renault,Renault RS27-2010,2400,8,32,23,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,4700000.0
2010,catalunya,mercedes,michael_schumacher,66,12.0,4,5,10.0,1,6,Germany,9,8,1969,174,75,Germany,91,68,Mercedes,Mercedes FO 108X,2398,8,32,41,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,10640000.0
2010,catalunya,mclaren,button,66,10.0,5,5,60.0,1,5,United Kingdom,166,145,1980,182,72,United Kingdom,9,7,Mercedes,Mercedes FO 108X,2398,8,32,30,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,12000000.0
2010,catalunya,ferrari,massa,66,8.0,6,5,41.0,1,9,Italy,211,203,1981,166,59,Brazil,11,15,Ferrari,Ferrari Tipo 056,2398,8,32,29,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,18620000.0
2010,catalunya,force_india,sutil,66,6.0,7,5,10.0,1,11,India,0,1,1983,183,75,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,27,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,266000.0
2010,catalunya,renault,kubica,66,4.0,8,5,40.0,1,7,France,35,51,1984,183,72,Poland,1,1,Renault,Renault RS27-2010,2400,8,32,26,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,10000000.0
2010,catalunya,williams,barrichello,65,2.0,9,5,5.0,1,17,United Kingdom,113,125,1972,172,77,Brazil,11,14,Cosworth,Cosworth CA2010,2400,8,32,38,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,7315000.0
2010,catalunya,toro_rosso,alguersuari,65,1.0,10,5,2.0,1,15,Italy,1,1,1990,181,65,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,20,Spain,Race,4.657,14,2,1,0,0,1,0,0,0,532000.0
2010,catalunya,renault,petrov,65,0.0,11,5,6.0,1,19,France,35,51,1984,185,75,Russia,0,0,Renault,Renault RS27-2010,2400,8,32,26,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,532000.0
2010,catalunya,sauber,kobayashi,65,0.0,12,5,0.0,1,10,Switzerland,1,1,1986,170,57,Japan,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,24,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,665000.0
2010,catalunya,mercedes,rosberg,65,0.0,13,5,50.0,1,8,Germany,9,8,1985,178,71,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,25,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,10640000.0
2010,catalunya,mclaren,hamilton,64,0.0,14,5,49.0,0,3,United Kingdom,166,145,1985,175,66,United Kingdom,11,17,Mercedes,Mercedes FO 108X,2398,8,32,25,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,21280000.0
2010,catalunya,force_india,liuzzi,64,0.0,15,5,8.0,0,16,India,0,1,1980,169,68,Italy,0,0,Mercedes,Mercedes FO 108X,2398,8,32,30,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,266000.0
2010,catalunya,williams,hulkenberg,64,0.0,16,5,1.0,1,13,United Kingdom,113,125,1987,184,70,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,23,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,931000.0
2010,catalunya,lotus_racing,trulli,63,0.0,17,5,0.0,1,18,Malaysia,0,0,1974,173,60,Italy,1,4,Cosworth,Cosworth CA2010,2400,8,32,36,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,3990000.0
2010,catalunya,virgin,glock,63,0.0,18,5,0.0,1,22,United Kingdom,0,0,1982,169,64,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,28,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,1330000.0
